Task 1.1,Wrong Nodes 1.1,Task 1.2,Wrong Nodes 1.2,Task 1.3,Wrong Nodes 1.3,Task 1.4,Wrong Nodes 1.4,Task 1.5,Wrong Nodes 1.5,Task 1.6,Wrong Nodes 1.6,Task 1.7,Wrong Nodes 1.7,Task 1.8,Wrong Nodes 1.8,Task 1.9,Wrong Nodes 1.9,Task 1.10,Wrong Nodes 1.10,Task 1.11,Wrong Nodes 1.11,Task 1.12,Wrong Nodes 1.12,Task 1.13,Wrong Nodes 1.13,Task 1.14,Wrong Nodes 1.14,Task 1.15,Wrong Nodes 1.15,Task 1 Total,Task 1 Total Wrong Nodes,Task 2.1,Wrong Nodes 2.1,Task 2.2,Wrong Nodes 2.2,Task 2.3,Wrong Nodes 2.3,Task 2.4,Wrong Nodes 2.4,Task 2.5,Wrong Nodes 2.5,Task 2 Total,Task 2 Total Wrong Nodes,Task 3,Wrong Nodes 3,Total,Total wrong nodes
2.474,0,2.048,0,2.369,0,2.371,0,2.565,0,2.953,0,2.51,0,2.144,0,1.825,0,2.611,0,3.211,0,2.352,0,2.105,0,2.986,0,5.469,0,39.993,0,85.962,17,9.495,2,16.805,1,50.323,9,210.568,41,373.153,70,60.141,1,473.287,71
16.972,3,10.872,0,5.608,1,6.946,3,9.438,1,11.064,2,5.217,0,10.537,1,10.545,0,3.121,1,5.983,1,3.944,0,2.904,1,9.234,2,3.695,0,116.08,16,107.973,11,44.565,6,19.593,2,29.173,3,21.233,2,222.537,24,30.491,1,369.108,41
3.983,0,3.749,0,4.107,0,8.994,0,6.75,0,7.895,0,14.269,0,21.809,2,15.691,0,9.954,0,11.905,0,3.429,0,11.121,0,12.334,0,9.512,0,145.502,2,35.115,3,35.223,0,50.126,1,98.174,7,1.196,0,219.834,11,144.427,0,509.763,13
10.645,0,10.622,0,19.604,0,79.847,3,51.172,0,19.042,0,28.117,0,15.848,0,40.182,0,15.358,0,18.711,0,10.556,1,4.261,0,22.177,0,15.138,0,361.28,4,112.584,3,59.747,1,130.38,2,298.077,3,1.865,0,602.653,9,391.949,0,1355.882,13
13.407,0,29.614,0,7.267,0,12.132,1,11.272,0,8.804,0,5.104,0,10.936,1,14.321,0,4.553,0,7.294,0,4.67,0,6.806,0,9.242,0,3.966,0,149.388,2,41.683,1,29.747,1,45.054,2,40.386,2,32.843,2,189.713,8,101.555,1,440.656,11
2.346,0,2.196,0,2.138,0,3.301,0,2.814,0,3.326,0,2.391,0,2.21,0,3.866,0,2.391,0,3.083,0,3.374,0,5.249,0,3.339,0,2.92,0,44.944,0,10.331,0,20.64,1,8.527,0,11.342,0,10.387,0,61.227,1,28.56,0,134.731,1
